report_date,zone_id,zone_name,utr,idle_time,stacking_percentage,early,late,order_on_time,nonstacked_difference,stacked_difference,percentile_80
2024-06-28,1,Heliopolis,1.99,15.13,15.22,6.61,14.77,78.63,28.258964214700015,35.16507888792885,11.991192198804654
2024-06-29,1,Heliopolis,1.89,18.32,14.05,6.66,13.56,79.79,28.258964214700015,35.16507888792885,11.991192198804654
2024-06-30,1,Heliopolis,1.87,19.95,10.04,8.76,12.38,78.86,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-01,1,Heliopolis,2.09,11.01,21.25,6.57,18.69,74.75,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-02,1,Heliopolis,2.0,13.3,16.19,7.17,15.04,77.78,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-03,1,Heliopolis,1.98,13.86,16.61,6.78,16.01,77.21,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-04,1,Heliopolis,2.06,10.62,17.57,9.19,14.57,76.24,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-05,1,Heliopolis,2.12,9.11,19.02,9.89,16.28,73.83,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-06,1,Heliopolis,1.95,14.01,11.91,8.89,13.7,77.4,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-07,1,Heliopolis,1.98,12.41,16.27,8.43,16.01,75.56,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-08,1,Heliopolis,2.02,11.08,19.33,8.29,18.83,72.88,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-09,1,Heliopolis,1.99,12.87,15.78,8.81,16.02,75.17,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-10,1,Heliopolis,1.98,12.38,16.21,8.37,16.07,75.56,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-11,1,Heliopolis,1.85,20.29,14.07,10.0,16.42,73.58,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-12,1,Heliopolis,2.03,13.73,15.07,10.7,13.6,75.7,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-13,1,Heliopolis,1.78,21.66,7.36,8.23,10.98,80.79,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-14,1,Heliopolis,1.95,15.1,14.35,7.58,14.3,78.12,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-15,1,Heliopolis,1.97,14.28,14.64,7.76,15.63,76.61,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-16,1,Heliopolis,1.9,15.17,10.86,7.39,13.45,79.16,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-17,1,Heliopolis,1.86,17.3,11.06,8.43,12.49,79.08,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-18,1,Heliopolis,1.84,18.1,9.86,8.57,11.99,79.44,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-19,1,Heliopolis,1.92,16.49,8.43,9.53,10.3,80.17,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-20,1,Heliopolis,1.77,19.63,6.67,7.54,11.53,80.93,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-21,1,Heliopolis,1.88,17.29,11.83,8.1,12.68,79.21,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-22,1,Heliopolis,2.0,12.11,14.24,8.62,13.78,77.6,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-23,1,Heliopolis,1.89,16.45,10.5,6.94,12.34,80.72,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-24,1,Heliopolis,1.91,13.85,11.63,6.3,13.96,79.74,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-25,1,Heliopolis,1.76,20.99,8.54,6.44,13.78,79.78,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-26,1,Heliopolis,1.89,18.12,7.53,8.9,10.45,80.65,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-27,1,Heliopolis,1.8,21.59,6.05,9.93,8.9,81.17,28.258964214700015,35.16507888792885,11.991192198804654
2024-07-28,1,Heliopolis,1.83,20.56,8.72,9.46,10.41,80.13,28.258964214700015,35.16507888792885,11.991192198804654
2024-06-28,2,Cairo_city_centre,2.04,18.62,15.79,9.35,15.12,75.53,28.600841617605298,39.061323883818204,10.862262038073908
2024-06-29,2,Cairo_city_centre,1.83,19.76,12.18,9.69,13.21,77.11,28.600841617605298,39.061323883818204,10.862262038073908
2024-06-30,2,Cairo_city_centre,1.79,24.91,11.96,12.08,11.31,76.61,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-01,2,Cairo_city_centre,2.05,16.5,18.47,9.19,20.17,70.65,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-02,2,Cairo_city_centre,1.81,20.89,10.94,8.18,14.48,77.34,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-03,2,Cairo_city_centre,1.82,21.22,12.48,8.28,15.69,76.03,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-04,2,Cairo_city_centre,1.78,20.64,8.93,10.67,12.03,77.3,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-05,2,Cairo_city_centre,1.88,18.15,9.69,11.4,11.14,77.46,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-06,2,Cairo_city_centre,1.72,23.94,5.7,10.5,9.77,79.73,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-07,2,Cairo_city_centre,1.83,19.37,9.28,9.79,11.81,78.4,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-08,2,Cairo_city_centre,1.99,13.01,15.75,9.0,15.97,75.03,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-09,2,Cairo_city_centre,1.95,14.91,14.3,9.43,14.78,75.79,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-10,2,Cairo_city_centre,1.93,13.32,14.04,9.39,16.32,74.29,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-11,2,Cairo_city_centre,1.76,21.47,10.95,10.24,13.35,76.41,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-12,2,Cairo_city_centre,1.92,16.15,13.0,11.79,12.9,75.31,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-13,2,Cairo_city_centre,1.77,20.12,6.63,10.33,10.36,79.31,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-14,2,Cairo_city_centre,1.84,18.59,10.18,9.34,12.56,78.1,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-15,2,Cairo_city_centre,2.03,12.29,13.88,8.35,15.61,76.04,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-16,2,Cairo_city_centre,1.91,15.67,9.2,9.63,11.77,78.6,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-17,2,Cairo_city_centre,1.78,19.98,9.0,8.72,12.75,78.52,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-18,2,Cairo_city_centre,1.74,21.13,6.1,10.01,10.59,79.4,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-19,2,Cairo_city_centre,1.78,19.7,7.04,9.98,10.86,79.16,28.600841617605298,39.061323883818204,10.862262038073908
2024-07-20,2,Cairo_city_centre,1.73,21.56,4.59,9.46,10.02,80.52,28.600841617605298,39.061323883818204,10.862262038073908
